GeoFips,GeoName,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274943,276084,277274,278140,277553,276237
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",68823,69373,69980,71861,74069,75990,76610,77777,79001,79121,80289,81176,82776,82681,84601,85851,87735,89508,91572,94295,96057,99386,102185,106578,109936,112898,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140975,145014,150195,154196,157684,160934
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",340794,348901,359074,364786,374244,383370,390476,393411,398117,403081,409893,418761,427630,429399,432054,436235,446200,459773,474398,476818,483333,489089,490788,496030,500636,504895,508896,512626,516818,520120,526789,531294,538643,545524,552627,558096,566672,570754,576013,579495,582602,588955
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",485969,497356,517680,532052,538668,571520,589582,605961,633452,668303,707646,758510,793109,807392,817153,831848,851898,880678,912833,949788,988925,1031557,1073037,1111264,1155579,1205898,1264950,1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727600,1781093,1835567,1884778,1944376,2004539
12540,"Bakersfield, CA (Metropolitan Statistical Area)",344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841554,849606,856127,865259,873177,880708
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2179392,2184332,2188964,2201877,2204362,2209160,2203385,2214413,2220748,2228439,2244735,2255970,2285633,2309719,2340870,2360610,2390543,2418136,2440078,2458038,2475364,2490370,2501453,2513492,2525266,2540307,2557958,2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2716811,2739196,2764471,2782512,2798729,2812978
12620,"Bangor, ME (Metropolitan Statistical Area)",132038,133434,135542,136134,136912,137157,137228,137952,138020,138101,138488,138654,139169,140207,142639,145402,147046,147315,146435,146752,147000,145724,145356,144910,144574,144902,144937,146110,147298,148759,148814,149726,151446,152232,153372,153770,153877,153842,153501,153444,153487,152271
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,216289,217298,218300,219597,220938,222109
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",528099,538564,553502,570000,582400,599371,616887,629470,641928,652140,656970,660608,660308,652064,647939,646296,648009,657862,669807,679884,687147,694120,701312,709007,716245,724139,730913,733925,738589,745536,753093,758706,795417,803339,811301,819405,827959,833044,839003,846054,852164,857755
12980,"Battle Creek, MI (Metropolitan Statistical Area)",143021,142640,142359,142772,143463,142341,141701,141880,139886,137629,135682,134523,134316,134849,134459,135457,136226,136814,137298,137775,137910,137393,136630,136834,137783,138021,138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,135967,135180,134878,134960,135079,134665
13020,"Bay City, MI (Metropolitan Statistical Area)",120548,120441,120560,121500,122057,121074,120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107710,107578,107260,107221,106599,105916
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",346501,351699,357229,363114,364725,370911,374797,380033,385895,387177,385029,380408,367831,365565,361654,360338,361510,366555,371174,375979,377590,380888,380417,381675,382827,385034,384759,382708,383004,383208,384438,385490,379119,382330,385248,387146,389399,391632,390922,393098,394119,397910
13220,"Beckley, WV (Metropolitan Statistical Area)",129362,132602,138390,142246,144129,145047,144639,144324,144345,144081,142180,140228,137822,133725,129757,125854,124685,124959,125222,126345,126577,127571,128425,128275,127892,127431,126525,125318,125672,125519,125145,124570,124378,124566,124550,124816,124943,125252,125089,124316,123289,121997
13380,"Bellingham, WA (Metropolitan Statistical Area)",91043,93332,96070,98453,101482,104380,107222,109096,109885,110630,111294,112441,113262,115361,119002,123294,129111,133823,138957,143669,147593,151369,155134,158133,160988,164566,167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201471,203109,204189,205103,206873,210224
13460,"Bend, OR (Metropolitan Statistical Area)",40155,42422,44686,47969,53349,58452,62365,63130,63031,62516,63839,64959,66160,66862,68882,71415,76053,80456,84199,88061,91393,95491,99362,102581,106820,111933,116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157697,159445,160974,164745,168775,173308
13740,"Billings, MT (Metropolitan Statistical Area)",109243,111813,114570,117033,120831,122169,122320,124281,127232,130476,133163,133865,133004,130848,128914,128242,128207,130091,133388,136715,139406,141662,143283,144327,144892,146331,147378,148858,150320,151913,153672,156025,158157,160358,163165,165575,167596,169134,171153,173677,175356,176865
13780,"Binghamton, NY (Metropolitan Statistical Area)",265630,268656,269063,268668,267705,266989,263639,263859,264005,263473,263182,264719,263651,262266,263797,264388,264731,265632,266571,265993,264082,260079,256702,254213,253235,252773,252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251728,251458,251144,251184,251193,250330
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",806250,817389,828889,840643,850344,858633,862076,861973,858219,859337,863666,869074,872990,879812,882893,886556,891067,901517,911803,923335,934428,944372,952500,960026,968885,976656,982704,988718,993201,1001781,1009575,1017818,1030584,1039561,1049266,1057924,1062299,1066967,1072868,1080550,1086106,1092150
13900,"Bismarck, ND (Metropolitan Statistical Area)",69160,71634,74201,76261,77840,80547,82690,83333,84582,86386,87741,87927,87741,86699,86285,86247,86329,87112,88603,90124,91123,92442,93781,94705,95784,96321,96917,97253,98254,99128,100134,101858,103713,105648,107210,109009,111206,113327,116539,120508,123850,127462
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",118956,121908,123619,126002,128476,129849,130226,131772,132202,132324,133483,134236,135376,136318,138426,139471,141184,141780,142774,143594,144923,145498,146082,146943,149066,150727,151553,153348,153326,154009,154647,156402,158277,160085,161247,162385,163115,163343,163956,165000,165353,165333
14010,"Bloomington, IL (Metropolitan Statistical Area)",114945,114040,115432,116848,117535,118173,119354,119963,120379,121622,122295,122918,122638,124317,126021,127624,129715,132200,134198,136831,138613,140945,142363,144342,146526,149135,150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169808,170902,172693,174985,174031,173055
14020,"Bloomington, IN (Metropolitan Statistical Area)",106218,103965,105944,109821,112226,113041,115057,116537,117520,118037,117945,118146,119043,120497,122111,124856,126773,127983,130131,132395,134678,136275,137794,139271,140527,141770,142709,143650,144707,146835,148549,150096,152548,154352,156164,157840,159950,160810,161197,160817,161248,161138
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",76162,76926,77069,77452,77789,78394,78787,79211,79223,79674,79135,78679,78729,78718,79446,80226,81113,81669,82381,82802,82801,83012,83013,82914,82623,82449,82211,82592,82838,83240,83511,83718,83996,84303,84735,85385,85652,85441,85462,85584,85531,84973
14260,"Boise City, ID (Metropolitan Statistical Area)",230081,236798,246322,255984,267147,275953,281376,285918,289363,292391,297051,301145,302755,303727,306455,312962,322316,335378,347646,364123,380160,395382,409471,422797,438421,452837,469017,486078,499994,512491,525975,546980,570583,590330,603218,611341,617891,627764,637590,649437,662904,674981
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3969705,3953504,3946719,3947472,3944294,3942625,3946114,3966836,3977211,4006648,4038686,4071845,4088650,4104797,4125293,4139484,4137302,4128150,4137692,4163698,4189180,4230795,4265564,4302696,4337751,4369743,4401256,4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4567869,4617467,4670666,4723453,4774046,4812312
14500,"Boulder, CO (Metropolitan Statistical Area) *",166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295131,300434,305430,310586,313911,320154
14540,"Bowling Green, KY (Metropolitan Statistical Area)",96904,98351,100546,102335,104207,105640,107557,109593,114875,116854,113805,113170,112523,112227,112325,112679,114270,115583,117502,120327,122686,125345,127749,130090,132238,133747,135367,136901,138510,140921,143044,145918,149324,151710,154513,156978,159333,160929,162341,164495,166417,169252
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",111965,119117,120976,125902,132640,140733,148762,154907,155059,160515,161742,163546,164293,169760,178929,182461,191879,199636,209562,211262,214422,223391,226584,229403,228878,229393,232720,234513,238129,239758,241960,239806,245054,244105,246912,248800,251762,254685,255017,253403,254705,260904
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919702,929775,938339,944612,950338,952518
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",172211,182806,189415,194722,198941,205544,211944,220184,230718,238878,242355,245894,250996,253714,254410,256512,261728,269261,277322,288297,297316,304928,312086,318281,324556,330277,336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407541,412772,415102,416219,417498,417572
15260,"Brunswick, GA (Metropolitan Statistical Area)",67760,66301,66832,68260,68464,70289,71952,72718,73627,74420,75513,76517,77877,79049,80269,81414,82437,83303,84259,85624,86487,87522,88541,90027,91160,92420,93344,95052,96612,98180,99879,101532,104715,107334,109579,111343,112378,112178,112026,111984,112260,112915
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1318687,1312980,1303095,1289794,1276092,1263570,1241275,1232720,1223579,1210449,1197531,1191856,1184555,1179756,1181174,1185954,1190943,1194992,1198490,1200744,1200479,1197885,1194167,1186175,1178462,1173102,1169060,1165067,1161678,1159918,1156070,1148563,1141712,1137678,1136364,1135377,1136632,1140622,1143708,1148113,1152225,1154153
15500,"Burlington, NC (Metropolitan Statistical Area)",99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151452,152782,153421,154381,155658,157367
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",141657,143608,145209,147509,149023,151554,155430,157017,158663,160287,161724,163751,165834,167755,171477,174979,177757,179447,181178,183909,187186,189300,191043,193040,194691,197026,199600,201361,203052,204201,205652,206637,207426,208232,209332,210435,211648,213820,215032,216378,217712,219701
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",51667,52738,53724,54522,56744,58541,60176,61182,61697,62450,63245,64618,66570,69083,71785,74130,76361,77952,78815,77994,78737,79222,80633,83165,84967,85627,86498,87455,89819,92333,94900,96871,98849,100599,101921,103273,105758,107518,108717,109094,109745,110772
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",406348,402470,400573,401304,404117,402887,404365,403233,401616,399727,399131,396527,393569,392135,393752,394481,394606,397025,399399,402098,403612,404924,405915,406235,406189,406983,406887,406256,406039,406046,405960,405168,405343,405939,406140,405127,404317,403896,404461,404867,405644,404863
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",146825,154905,159632,173998,182920,192597,208050,218795,230932,241554,255299,267107,280483,295262,306842,322253,339012,351069,359679,368938,380928,391823,400723,410841,421889,431981,444311,461037,478889,497662,522431,555029,582678,604716,610984,612297,619982,628655,639773,653285,668448,688440
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",74588,74605,76817,77598,78829,79941,81562,82038,81576,81546,81732,82211,82368,82524,82775,82734,83037,83892,85118,85803,86267,87084,87975,88270,88682,90016,90527,91226,91694,91840,92734,93173,94167,94616,95031,95634,96458,97003,97251,97250,97502,97470
