GeoFips,GeoName,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2022
11700,"Asheville, NC (Metropolitan Statistical Area)",4671,4981,5523,6108,6746,7381,8286,9253,9755,10684,11736,12418,13137,14003,15195,16478,17368,17981,18978,19850,20457,21582,22362,23714,24865,25324,26267,27120,27125,27433,29118,30319,32333,33749,34530,33262,33642,34769,36436,36050,38099,39947,41312,57810
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4374,4811,5460,5981,6637,7240,7625,8528,9136,10048,10820,11537,12565,13088,14123,15305,16085,16441,17004,17756,18425,19543,20538,21095,22348,22898,23576,24550,25109,26041,26574,27747,28351,29310,29748,29167,29506,30723,31773,32048,34235,36004,36824,49884
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",5764,6155,6737,7435,8282,9085,10102,11153,11840,12869,14351,15504,16551,17421,18660,19604,20624,20972,22150,23009,24038,25428,26940,28132,30409,31724,33861,34938,35008,35493,36913,38446,40062,40783,39890,38287,38666,41092,41698,41847,44517,46735,48350,64107
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",6206,6773,7499,8321,9312,10721,12269,13949,14851,15958,17670,18586,19569,20366,21822,22301,22469,20990,23279,24151,24518,26181,27562,28759,29692,30268,31664,29156,29844,30521,31972,33365,36359,38012,39139,38121,38606,40085,40605,41037,41890,42510,43120,55918
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3967,4377,4920,5527,6176,6650,7461,8061,8418,9319,10187,10830,11263,11983,12698,13966,14403,14951,15950,16456,17240,17940,18299,18860,19680,20333,20941,21327,22178,23452,25150,25961,27305,28471,30036,29170,29958,30913,31888,31501,32684,33834,34783,46691
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4940,5199,5795,6261,6815,7524,8175,9079,10016,10718,11939,12861,13657,14049,15016,16361,17482,17749,18436,18899,19469,20014,20814,21510,22789,23548,24603,25126,26086,27174,28282,29120,30246,31305,32251,32435,33253,34971,34926,34897,36334,38120,38817,49496
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",5141,5779,6366,6874,7905,8623,9632,10946,12022,13174,14558,15374,15361,15289,16039,16911,18243,18759,19848,20879,21930,23237,24480,26250,29380,31698,33077,35395,34476,34387,34293,36447,38968,39838,42046,39837,41402,44576,47223,48072,50631,51884,52471,75119
12540,"Bakersfield, CA (Metropolitan Statistical Area)",6253,6566,7533,7848,8509,9741,11072,11504,12109,12236,13111,13632,14193,14345,15356,15835,16538,17059,17267,17796,17762,18240,19023,19341,20254,20500,21463,22337,23116,23974,24985,26034,27293,28861,29194,28590,30669,32141,33731,34301,36164,36532,36168,44862
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",6349,6861,7467,8096,9023,9938,11181,12301,13197,14061,15314,16423,17395,18333,19826,21038,22024,22606,23431,24060,24934,25953,27092,28605,30589,32296,34530,35783,36855,38022,39908,41842,44208,46273,47893,47156,48203,50218,51100,51048,52631,54356,55720,71420
12620,"Bangor, ME (Metropolitan Statistical Area)",4614,5067,5666,6061,6624,7382,8238,8935,9543,10307,11330,11992,12660,13679,14898,15780,16108,16488,17314,17981,18666,19275,20138,21207,22497,23299,24925,25690,26583,27188,28199,29123,29840,31000,32431,33348,33454,34632,34860,35152,35927,37305,38378,51998
